tipo_do_animal;raca;idade;genero;peso;duracao;perda_de_apetite;vomito;diarreia;tosse;dificuldade_para_respirar;dificuldade_para_locomover;problemas_na_pele;secrecao_nasal;secrecao_ocular;batimento_cardiaco;agitacao;andar_em_circulos;aumento_apetite;cera_excessiva_nas_orelhas;coceira;desidratacao;desmaio;dificuldade_para_urinar;dor;espamos_musculares;espirros;febre;fraqueza;inchaco;lambedura;letargia;lingua_azulada;perda_de_pelos;perda_de_peso;ranger_de_dentes;ronco;salivacao;suor_alterado;classe_doenca
gato;ragdoll;4;0;5.5;28;0;0;0;0;1;1;0;0;0;200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;cardiovascular_hematologica
gato;maine_coon;6;0;10;4;1;0;0;1;0;0;0;1;0;145;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;cardiovascular_hematologica
gato;siames;6;0;4.8;14;1;0;0;0;1;0;0;0;0;195;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;cardiovascular_hematologica
coelho;holandes;1;0;2.2;3;1;0;0;0;0;0;0;1;0;130;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;cardiovascular_hematologica
cachorro;golden_retriever;8;1;32;14;1;0;0;1;1;0;0;0;0;140;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;cardiovascular_hematologica
gato;ragdoll;4;0;5.5;28;0;0;0;0;1;1;0;0;0;200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;cardiovascular_hematologica
cachorro;yorkshire_terrier;4;1;8;3;1;1;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;cardiovascular_hematologica
gato;bengal;3;0;3.1;6;0;1;1;0;0;0;0;0;0;145;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;cardiovascular_hematologica
cachorro;doberman;7;1;38;21;0;0;0;1;0;0;0;0;0;135;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;cardiovascular_hematologica
gato;sphynx;5;1;4;10;1;0;0;0;1;0;0;0;0;185;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;cardiovascular_hematologica
cavalo;percheron;12;1;600;5;1;0;0;0;0;1;0;0;0;72;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;cardiovascular_hematologica
coelho;mini_rex;1;0;3,.4;3;1;0;0;0;0;0;0;1;0;130;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;cardiovascular_hematologica
cachorro;golden_retriever;8;1;32;14;1;0;0;1;1;0;0;0;0;140;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;cardiovascular_hematologica
cachorro;husky_siberiano;6;1;28;8;0;0;0;0;0;1;1;0;0;120;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;cardiovascular_hematologica
cachorro;cavalier_king_charles_spaniel;6;0;7;7;0;0;0;1;0;0;0;0;0;160;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;cardiovascular_hematologica
gato;ragdoll;5;1;8;4;1;0;0;1;0;0;0;1;0;145;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;cardiovascular_hematologica
