tipo_do_animal;raca;idade;genero;peso;duracao;perda_de_apetite;vomito;diarreia;tosse;dificuldade_para_respirar;dificuldade_para_locomover;problemas_na_pele;secrecao_nasal;secrecao_ocular;batimento_cardiaco;agitacao;andar_em_circulos;aumento_apetite;cera_excessiva_nas_orelhas;coceira;desidratacao;desmaio;dificuldade_para_urinar;dor;espamos_musculares;espirros;febre;fraqueza;inchaco;lambedura;letargia;lingua_azulada;perda_de_pelos;perda_de_peso;ranger_de_dentes;ronco;salivacao;suor_alterado;classe_doenca
gato;maine_coon;3;0;7;23;0;0;0;0;0;0;0;0;0;120;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;nenhuma
cachorro;yorkshire;2;0;3;5;0;0;0;0;0;0;0;0;0;170;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;nenhuma
cachorro;pug;3;1;9.5;2;0;0;0;0;1;0;0;0;0;150;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;nenhuma
cachorro;corgi;5;1;11;3;0;1;1;0;0;0;0;0;0;134;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;gastrointestinal
cachorro;buldogue;3;0;25;4;1;1;0;0;0;0;0;0;0;125;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;urogenital
gato;sem_raca_definida_(srd);2;1;3.8;8;1;1;0;0;0;0;0;0;0;165;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;urogenital
gato;maine_coon;7;0;6.5;21;1;0;0;0;1;0;0;0;0;190;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;cardiovascular_hematologica
gato;ragdoll;4;0;5.5;28;0;0;0;0;1;1;0;0;0;200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;cardiovascular_hematologica
gato;sem_raca_definida_(srd);1;0;3;2;1;1;1;0;0;0;0;0;0;150;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;cardiovascular_hematologica
cachorro;pastor_alemao;3;0;30;7;0;0;0;0;0;1;1;0;0;110;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;cutanea
cachorro;cocker_spaniel;5;0;20;4;1;1;0;0;0;0;0;0;0;123;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;urogenital
gato;persa;6;0;3.1;5;1;0;0;0;0;0;0;1;0;148;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;gastrointestinal
gato;burmes;8;0;3.1;6;0;0;0;0;0;0;0;1;1;139;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;respiratoria
gato;ragdoll;4;0;5.5;2;0;0;0;0;0;0;0;1;1;168;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;nenhuma
cachorro;sem_raca_definida;6;1;25;6;0;0;0;0;1;0;0;0;0;160;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;nenhuma
cachorro;poodle;3;0;28;5;1;0;0;1;0;0;0;0;0;120;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;respiratoria
cachorro;labrador;3;0;27;40;0;0;0;0;1;0;0;0;0;155;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;nenhuma
cachorro;rottweiler;5;0;40;4;1;1;0;0;0;0;0;0;0;122;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;respiratoria
cachorro;buldogue;5;1;23;6;1;0;0;1;1;0;0;1;0;115;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;respiratoria
cachorro;cavalier_king_charles_spaniel;6;0;7;7;0;0;0;1;0;0;0;0;0;160;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;cardiovascular_hematologica
